City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
171,el granada,37.5027,-122.4694,13.94,80,75,2.57,US,1707182952
172,new norfolk,-42.7826,147.0587,19.95,32,65,3.44,AU,1707182953
173,berezovyy,51.6667,135.7,-16.21,74,2,0.55,RU,1707182953
174,puquio,-14.7,-74.1333,12.08,85,96,1.82,PE,1707182953
175,sitka,57.0531,-135.33,3.94,81,75,0.0,US,1707182954
176,ingeniero jacobacci,-41.3427,-69.5448,19.33,37,93,6.51,AR,1707182954
177,yokadouma,3.5167,15.05,20.51,37,100,0.59,CM,1707182955
178,shingu,33.7333,135.9833,8.62,59,2,3.6,JP,1707182955
179,muisne,0.6,-80.0333,26.22,87,60,2.17,EC,1707182955
180,valparaiso,-33.0393,-71.6273,15.8,94,0,0.0,CL,1707182956
181,keflavik,64.0049,-22.5624,-6.76,73,75,9.26,IS,1707182956
182,qingnian,36.8456,115.7117,-2.33,78,51,1.05,CN,1707182956
183,gadzhiyevo,69.2551,33.3362,-19.91,100,100,3.59,RU,1707182957
184,hithadhoo,-0.6,73.0833,28.12,74,100,3.63,MV,1707182957
185,stanley,54.868,-1.6985,10.43,83,75,10.8,GB,1707182958
186,anadyr,64.75,177.4833,-22.72,77,100,6.0,RU,1707182958
187,talnakh,69.4865,88.3972,-24.83,89,33,2.42,RU,1707182958
188,magong,23.5654,119.5863,17.67,85,100,12.78,TW,1707182960
189,emerald,-23.5333,148.1667,32.41,55,3,2.14,AU,1707182960
190,udachny,66.4167,112.4,-23.64,83,100,1.52,RU,1707182961
191,neiafu,-18.65,-173.9833,27.53,72,26,6.53,TO,1707182961
192,ambodifotatra,-16.9833,49.85,26.08,81,100,1.24,MG,1707182962
193,sisimiut,66.9395,-53.6735,-17.71,72,64,6.43,GL,1707182962
194,tanjung pinang,0.9167,104.45,27.02,80,98,3.17,ID,1707182962
195,candelaria,13.9311,121.4233,27.67,66,9,3.42,PH,1707182963
196,howrah,22.5892,88.3103,20.0,94,75,2.06,IN,1707182963
197,nicoya,10.1483,-85.452,24.3,87,15,2.16,CR,1707182963
198,hamilton,39.1834,-84.5333,4.96,78,0,6.69,US,1707182959
199,merizo village,13.2658,144.6691,28.85,75,99,8.25,GU,1707182964
200,tralee,52.2704,-9.7026,10.23,91,73,6.01,IE,1707182965
201,shenjiamen,29.9576,122.298,3.15,86,100,5.6,CN,1707182965
202,myory,55.6217,27.6299,-2.81,86,99,5.77,BY,1707182965
203,san patricio,28.017,-97.5169,16.92,73,0,3.43,US,1707182966
204,gebeit,21.0667,36.3167,12.45,71,100,1.57,SD,1707182966
205,dila,6.4167,38.3167,16.47,76,7,1.9,ET,1707182966
206,zaozersk,69.4005,32.4476,-19.15,100,100,2.03,RU,1707182967
